varos,sorszam,valasztokorzet,lista,szavazatok,fidesz_aranya_valasztokorben,fidesz_aranya_teruleten,fidesz_aranya_diff,helyi_megjelentek_szama,atjelentkezett_megjelentek_szama,atjelentkezettek_aranya
"Ózd",029,"Ózd - 029",FIDESZ-KDNP,98,86.7256637168142,46.4623808848935,40.2632828319206,120,0,0.0
"Ózd",027,"Ózd - 027",FIDESZ-KDNP,271,86.5814696485623,46.4623808848935,40.1190887636688,313,0,0.0
Harta,004,"Harta - 004",FIDESZ-KDNP,33,84.6153846153846,45.5549831852404,39.0604014301442,39,0,0.0
"Sárvár",005,"Sárvár - 005",FIDESZ-KDNP,33,91.6666666666667,56.9853183316101,34.6813483350565,36,0,0.0
"Tiszavasvári",010,"Tiszavasvári - 010",FIDESZ-KDNP,678,80.047225501771,45.9932735013018,34.0539520004692,898,0,0.0
"Kaposvár",055,"Kaposvár - 055",FIDESZ-KDNP,312,77.2277227722772,43.4576231121415,33.7700996601357,412,0,0.0
"Tatabánya",004,"Tatabánya - 004",FIDESZ-KDNP,141,70.8542713567839,39.8195746882563,31.0346966685276,203,0,0.0
Marcali,012,"Marcali - 012",FIDESZ-KDNP,139,80.8139534883721,50.1780425661088,30.6359109222633,173,0,0.0
"Tatabánya",005,"Tatabánya - 005",FIDESZ-KDNP,210,69.3069306930693,39.8195746882563,29.487356004813,309,0,0.0
"Szentlőrinc",008,"Szentlőrinc - 008",FIDESZ-KDNP,67,77.0114942528736,49.3319281921537,27.6795660607199,92,0,0.0
"Ózd",025,"Ózd - 025",FIDESZ-KDNP,219,72.5165562913907,46.4623808848935,26.0541754064972,312,0,0.0
"Nyíregyháza",076,"Nyíregyháza - 076",FIDESZ-KDNP,122,68.5393258426966,42.6901378033,25.8491880393967,185,0,0.0
"Nyíregyháza",083,"Nyíregyháza - 083",FIDESZ-KDNP,238,68.1948424068768,42.6901378033,25.5047046035768,352,0,0.0
Heves,009,"Heves - 009",FIDESZ-KDNP,283,82.0289855072464,57.646660338119,24.3823251691273,371,0,0.0
"Orosháza",037,"Orosháza - 037",FIDESZ-KDNP,34,70.8333333333333,46.4674101018872,24.3659232314461,48,0,0.0
"Mohács",022,"Mohács - 022",FIDESZ-KDNP,28,82.3529411764706,58.1047812897314,24.2481598867392,34,0,0.0
"Jászberény",021,"Jászberény - 021",FIDESZ-KDNP,235,71.4285714285714,47.199132960148,24.2294384684234,334,0,0.0
"Gödöllő",010,"Gödöllő - 010",FIDESZ-KDNP,104,67.5324675324675,43.5730454925998,23.9594220398677,158,0,0.0
"Balmazújváros",017,"Balmazújváros - 017",FIDESZ-KDNP,36,75.0,51.179021052216,23.820978947784,48,0,0.0
"Tiszavasvári",002,"Tiszavasvári - 002",FIDESZ-KDNP,264,69.4736842105263,45.9932735013018,23.4804107092245,393,0,0.0
"Hódmezővásárhely",042,"Hódmezővásárhely - 042",FIDESZ-KDNP,115,72.3270440251572,49.1820473129461,23.1449967122111,161,0,0.0
"Vásárosnamény",009,"Vásárosnamény - 009",FIDESZ-KDNP,91,81.25,58.3759662151362,22.8740337848638,112,0,0.0
"Makó",009,"Makó - 009",FIDESZ-KDNP,363,74.8453608247423,51.9868296813469,22.8585311433953,512,0,0.0
Karcag,006,"Karcag - 006",FIDESZ-KDNP,481,81.1129848229342,58.7652962973405,22.3476885255937,612,0,0.0
"Ózd",026,"Ózd - 026",FIDESZ-KDNP,213,68.0511182108626,46.4623808848935,21.5887373259691,322,0,0.0
"Pásztó",009,"Pásztó - 009",FIDESZ-KDNP,167,72.9257641921397,51.5599793254712,21.3657848666686,230,0,0.0
"Békéscsaba",055,"Békéscsaba - 055",FIDESZ-KDNP,85,65.3846153846154,44.5120268825262,20.8725885020892,132,0,0.0
"Nyíradony",008,"Nyíradony - 008",FIDESZ-KDNP,210,88.6075949367088,67.9242776637292,20.6833172729797,245,0,0.0
"Komló",023,"Komló - 023",FIDESZ-KDNP,53,59.5505617977528,38.9233359241907,20.6272258735621,89,0,0.0
"Szentgotthárd",010,"Szentgotthárd - 010",FIDESZ-KDNP,129,82.6923076923077,62.2288524622063,20.4634552301014,159,0,0.0
"Mélykút",006,"Mélykút - 006",FIDESZ-KDNP,53,80.3030303030303,59.8578791047921,20.4451511982382,68,0,0.0
