ervenytelen_egyeni.valasztokorzet,ervenytelen_szavazolapok_listas,ervenytelen_szavazolapok_egyeni,ervenytelen_szavazolapok_diff
"Dejtár - 001",252,4,248
"Biatorbágy - 002",196,7,189
"Pécsudvard - 001",173,5,168
"Törökszentmiklós - 015",118,14,104
"Cegléd - 009",4,101,-97
"Diósd - 003",100,4,96
"Mohács - 006",98,3,95
"Vecsés - 008",95,2,93
"Felsőpakony - 001",93,6,87
"Kaposfő - 002",92,5,87
"Budapest II. kerület - 044",84,2,82
"Kétegyháza - 002",84,8,76
"Bogdása - 001",77,2,75
"Nyírkércs - 001",11,85,-74
"Gyula - 002",77,4,73
"Budapest XIV. kerület - 052",77,6,71
"Barcs - 001",73,2,71
"Porva - 001",72,5,67
"Csókakő - 001",78,12,66
"Cegléd - 033",2,68,-66
"Budapest XI. kerület - 035",66,2,64
"Vecsés - 004",67,3,64
"Kisújszállás - 001",77,15,62
"Zádorfalva - 001",1,62,-61
"Dunakeszi - 015",64,3,61
"Győr - 008",61,1,60
"Debrecen - 029",6,66,-60
"Mindszentgodisa - 002",60,1,59
"Gyál - 011",67,8,59
"Budapest II. kerület - 011",61,4,57
"Patak - 001",61,4,57
"Szarvas - 007",58,5,53
"Csépa - 001",58,5,53
"Siklós - 001",53,1,52
"Debrecen - 013",57,5,52
"Tiszarád - 001",57,5,52
"Jászfelsőszentgyörgy - 001",61,10,51
"Kengyel - 004",1,52,-51
"Szokolya - 001",57,7,50
"Lábod - 001",69,19,50
"Mohács - 018",53,4,49
"Felsőzsolca - 004",53,4,49
"Csongrád - 009",58,10,48
"Gyöngyös - 030",53,7,46
"Kimle - 001",51,6,45
"Győr - 055",46,2,44
"Szarvas - 003",46,3,43
"Kunmadaras - 005",59,17,42
"Márianosztra - 001",46,4,42
"Budapest XIX. kerület - 016",46,5,41
"Forró - 001",64,23,41
"Székesfehérvár - 074",44,3,41
"Balatonfüred - 002",3,44,-41
"Budapest XIX. kerület - 048",46,7,39
"Hatvan - 009",43,4,39
"Pilisvörösvár - 004",53,14,39
"Magy - 001",49,10,39
"Budapest XVII. kerület - 021",42,4,38
"Fertőrákos - 002",44,6,38
"Hajdúböszörmény - 024",49,11,38
"Tatabánya - 053",4,42,-38
"Devecser - 004",45,7,38
"Kiskőrös - 013",38,1,37
"Cibakháza - 003",45,8,37
"Budapest XXI. kerület - 035",39,3,36
"Debrecen - 042",18,54,-36
"Hajdúnánás - 013",43,8,35
"Telki - 004",36,1,35
"Hévíz - 001",40,5,35
"Isaszeg - 001",43,9,34
"Szarvas - 011",40,7,33
"Kőtelek - 002",33,0,33
"Csurgó - 006",36,3,33
"Budapest III. kerület - 008",34,2,32
"Törökszentmiklós - 003",6,38,-32
"Mohora - 001",37,5,32
"Budapest XIV. kerület - 019",6,37,-31
"Pécs - 098",7,38,-31
"Kondoros - 002",33,2,31
"Dunaújváros - 030",34,3,31
"Létavértes - 004",40,9,31
"Polgár - 001",3,34,-31
"Vízvár - 001",34,3,31
"Békéscsaba - 009",35,5,30
"Medgyesegyháza - 002",7,37,-30
"Mezőfalva - 003",39,9,30
"Székesfehérvár - 022",36,6,30
"Gyöngyös - 002",34,4,30
"Budakeszi - 003",37,7,30
"Veresegyház - 003",3,33,-30
"Fulókércs - 001",36,7,29
"Bojt - 001",30,1,29
"Hajdúböszörmény - 010",31,2,29
"Hajdúnánás - 001",118,89,29
"Hatvan - 003",33,4,29
"Egyházashetye - 001",32,3,29
"Budapest XX. kerület - 045",33,5,28
"Bicske - 005",35,7,28
"Hosszúpályi - 002",40,12,28
"Heves - 003",31,4,27
