varos,sorszam,valasztokorzet,szavazat_tipus,ervenyes_szavazolapok,ervenytelen_szavazolapok,ervenytelen_arany
"Bogdása",001,"Bogdása - 001",L,84,77,47.8260869565217
"Pécsudvard",001,"Pécsudvard - 001",L,338,173,33.8551859099804
Marcali,007,"Marcali - 007",L,484,243,33.4250343878955
Marcali,007,"Marcali - 007",J,486,241,33.1499312242091
"Dejtár",001,"Dejtár - 001",L,512,252,32.9842931937173
"Zádorfalva",001,"Zádorfalva - 001",J,134,62,31.6326530612245
"Fulókércs",001,"Fulókércs - 001",L,95,36,27.4809160305344
"Tiszarád",001,"Tiszarád - 001",L,158,57,26.5116279069767
"Biatorbágy",002,"Biatorbágy - 002",L,588,196,25.0
Porva,001,"Porva - 001",L,219,72,24.7422680412371
"Mohács",006,"Mohács - 006",L,334,98,22.6851851851852
Mindszentgodisa,002,"Mindszentgodisa - 002",L,207,60,22.4719101123595
"Kaposfő",002,"Kaposfő - 002",L,318,92,22.4390243902439
"Vecsés",008,"Vecsés - 008",L,337,95,21.9907407407407
"Törökszentmiklós",015,"Törökszentmiklós - 015",L,446,118,20.9219858156028
"Hajdúnánás",001,"Hajdúnánás - 001",L,451,118,20.7381370826011
Cserdi,001,"Cserdi - 001",L,114,29,20.2797202797203
Szuha,002,"Szuha - 002",L,52,13,20.0
"Csépa",001,"Csépa - 001",L,243,58,19.2691029900332
Kunmadaras,005,"Kunmadaras - 005",L,253,59,18.9102564102564
"Kétegyháza",002,"Kétegyháza - 002",L,368,84,18.5840707964602
"Nyírkércs",001,"Nyírkércs - 001",J,392,85,17.8197064989518
Pula,001,"Pula - 001",L,97,21,17.7966101694915
"Egyházashetye",001,"Egyházashetye - 001",L,150,32,17.5824175824176
Beret,001,"Beret - 001",L,104,22,17.4603174603175
"Diósd",003,"Diósd - 003",L,474,100,17.4216027874564
Kisasszonyfa,001,"Kisasszonyfa - 001",J,79,16,16.8421052631579
Encs,003,"Encs - 003",L,301,58,16.1559888579387
"Győr",008,"Győr - 008",L,320,61,16.010498687664
"Rinyaújnép",001,"Rinyaújnép - 001",J,16,3,15.7894736842105
"Hajdúnánás",001,"Hajdúnánás - 001",J,476,89,15.7522123893805
"Felsőpakony",001,"Felsőpakony - 001",L,508,93,15.4742096505824
"Pécs",024,"Pécs - 024",L,117,21,15.2173913043478
"Vecsés",004,"Vecsés - 004",L,383,67,14.8888888888889
Szarvas,007,"Szarvas - 007",L,333,58,14.8337595907928
"Mohács",018,"Mohács - 018",L,311,53,14.5604395604396
"Tiszafüred",009,"Tiszafüred - 009",L,77,13,14.4444444444444
"Cegléd",009,"Cegléd - 009",J,604,101,14.3262411347518
Sarkad,007,"Sarkad - 007",L,575,96,14.3070044709389
"Tésenfa",001,"Tésenfa - 001",L,84,14,14.2857142857143
"Tiszalök",006,"Tiszalök - 006",L,93,15,13.8888888888889
"Lábod",001,"Lábod - 001",L,432,69,13.7724550898204
Kengyel,004,"Kengyel - 004",J,327,52,13.7203166226913
"Kisszentmárton",002,"Kisszentmárton - 002",L,32,5,13.5135135135135
"Jászfelsőszentgyörgy",001,"Jászfelsőszentgyörgy - 001",L,395,61,13.3771929824561
Tiszadob,004,"Tiszadob - 004",L,52,8,13.3333333333333
"Gyál",011,"Gyál - 011",L,442,67,13.1630648330059
Szokolya,001,"Szokolya - 001",L,386,57,12.8668171557562
"Felsővadász",001,"Felsővadász - 001",J,183,27,12.8571428571429
"Sárospatak",015,"Sárospatak - 015",L,61,9,12.8571428571429
Bojt,001,"Bojt - 001",L,209,30,12.5523012552301
Miskolc,118,"Miskolc - 118",L,328,46,12.2994652406417
"Balmazújváros",006,"Balmazújváros - 006",L,394,55,12.2494432071269
"Kákics",001,"Kákics - 001",J,95,13,12.037037037037
Encs,003,"Encs - 003",J,316,43,11.9777158774373
"Vízvár",001,"Vízvár - 001",L,254,34,11.8055555555556
Sarkad,007,"Sarkad - 007",J,592,79,11.7734724292101
Patak,001,"Patak - 001",L,459,61,11.7307692307692
"Siklós",001,"Siklós - 001",L,403,53,11.6228070175439
Kimle,001,"Kimle - 001",L,391,51,11.5384615384615
"Budapest XI. kerület",035,"Budapest XI. kerület - 035",L,508,66,11.4982578397213
"Budapest II. kerület",011,"Budapest II. kerület - 011",L,471,61,11.4661654135338
"Nyírbátor",001,"Nyírbátor - 001",L,731,94,11.3939393939394
